id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270857518923669504,EHUHiPERF2V9sD0,2020-06-10 23:16:58,@SatoMasahisa ほう、では責められるべきはコロナがフェイクと知りながら #ワクチン #5G #人口削減 の国策で虚偽を国民に強いた連中ですか？ @AbeShinzo @Aso_Tarou @sugawitter @Naikakukanbo @MHLWitter @MIC_JAPAN @MOJ_HOUMU @ICRC_jp @meti_NIPPON 身に覚えは❔@realDonaldTrump @WhiteHouse @USArmy @USFJ_J,1,0,9,124,1248373554539663361,
1270857346445488128,mogeta7771,2020-06-10 23:16:17,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,112,95,1228706268337995776,
1270856692821970945,radio_yume,2020-06-10 23:13:41,コロナウイルスの情報がたくさん溢れている。これ、ほんと？○○が言ってたから本当じゃない？怖い！不安！どうしよう？これってデマ、ガセ、フェイク、偽情報、誤情報かな？と思ったらこちらをご覧頂けたらと思います。本当に大切な情報をまとめたサイトです！↓ https://t.co/sXK7lKzgwJ,3,1,243,184,1010869548856119296,
1270851887537901568,codomosh,2020-06-10 22:54:35,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,18,60,1168307806421708800,
1270849202650624005,ta_fujihara,2020-06-10 22:43:55,RT @superbigchoco1: @ta_fujihara 誤報だ、捏造だ、フェイクだはお前らに向けられてる言葉なのに、聞いていてデジャブみたいになってんのか、受け狙いなのか。情報処理に時差があるのか、コロナ騒ぎから非常に全てが遅延している模様。断っておきますがスピード感…,0,1,1672,1528,729358708526850052,
1270845350488637440,gothc777,2020-06-10 22:28:37,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,418,942,916992586241400832,
1270845063392751617,g6pXyZmjGe0MZSA,2020-06-10 22:27:28,RT @G7j6yAcnT4SWaIC: 皆様おはようございます😃石狩地方はそうでもありませんが、梅雨も近づき暑さが大変みたいです。水分補給で熱中症とコロナに気をつけて頑張って下さい💪所で渡部氏が浮気しまくりで番組出演自粛でスポンサーの取扱が賑かです‼️そんなことより…,0,4,646,546,1098428796477177856,
1270843376229736448,usaTRO,2020-06-10 22:20:46,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,240,601,500788312,
1270841571760459777,moco19022244,2020-06-10 22:13:36,RT @Space_417: トランプを嫌いな人も多いだろう私もコロナ禍になるまでは彼はコロナがフェイクと知っているだからマスクもつけずに抗マラリア薬を飲んでみせるパフォーマンスをしたこの映像はパフォーマンスかもしれないしかし教会の前で本気で悪魔と戦うことを誓った#…,0,19,5,35,1145012867881529344,
1270837087948816384,corata65,2020-06-10 21:55:47,なんであなたがこういうことを発表するんですか？フェイク認定。ソフトバンクＧが4万人超対象にコロナ抗体検査、陽性率0.43％（ロイター） https://t.co/ZLUGg2hwMI,0,0,13,7,768448247153070080,
